,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
3229,Shin Megami Tensei: Persona 3 Portable,PSP,2009.0,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04,0.63,89.0,40.0,7.6,790.0,16.0,12.0,16.0,3.0,UMD,français,français
3231,Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,Electronic Arts,0.4,0.17,0.0,0.05,0.63,80.0,50.0,6.1,27.0,15.0,6.0,17.3,3.0,DVD Blu-Ray,anglais,anglais
3233,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63,88.0,10.0,7.4,10.0,16.0,62.0,18.9,3.0,CD,anglais,français
3235,LEGO Jurassic World,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0.0,0.06,0.63,70.0,17.0,6.8,59.0,15.0,3.0,17.7,7.0,Autre,français,français
3236,Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63,70.0,61.0,6.5,81.0,11.0,107.0,12.4,18.0,Blu-Ray,français,français
3237,MySims Racing,DS,2009.0,Racing,Electronic Arts,0.26,0.29,0.0,0.07,0.63,67.0,11.0,7.5,6.0,12.0,25.0,13.8,3.0,Autre,français,français
3238,Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.35,0.24,0.0,0.04,0.63,54.0,10.0,7.1,14.0,11.0,1.0,14.0,3.0,Autre,français,français
3239,Namco Museum,GC,2002.0,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63,62.0,10.0,7.6,9.0,11.0,1.0,10.0,3.0,Autre,français,français
3243,Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62,75.0,43.0,7.7,31.0,15.0,8.0,17.5,16.0,Autre,anglais,français
3245,Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62,74.0,69.0,7.8,141.0,16.0,2.0,15.5,12.0,Autre,français,français
3246,Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.22,0.11,0.09,0.62,84.0,61.0,9.5,1635.0,18.0,259.0,16.7,18.0,Blu-Ray,français,français
3247,Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62,78.0,30.0,8.4,60.0,11.0,2.0,19.0,3.0,Autre,français,français
3249,Sacred 2: Fallen Angel,PS3,2009.0,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62,70.0,45.0,7.0,58.0,14.0,15.0,17.3,16.0,DVD,français,français
